+--------------------+-----------------------------------------------------------------------------------------------------+
| section            | note                                                                                                |
+--------------------+-----------------------------------------------------------------------------------------------------+
| defiant_audit_note | This audit intentionally uses conservative schema columns so it works on the restored MSR baseline. |
+--------------------+-----------------------------------------------------------------------------------------------------+
+--------------------------+-------------------+----------------------+-------------+----------------+
| section                  | COLUMN_NAME       | COLUMN_TYPE          | IS_NULLABLE | COLUMN_DEFAULT |
+--------------------------+-------------------+----------------------+-------------+----------------+
| lootdrop_entries_columns | lootdrop_id       | int(11) unsigned     | NO          | 0              |
| lootdrop_entries_columns | item_id           | int(11)              | NO          | 0              |
| lootdrop_entries_columns | item_charges      | smallint(2) unsigned | NO          | 1              |
| lootdrop_entries_columns | equip_item        | tinyint(2) unsigned  | NO          | 0              |
| lootdrop_entries_columns | chance            | float                | NO          | 1              |
| lootdrop_entries_columns | disabled_chance   | float                | NO          | 0              |
| lootdrop_entries_columns | trivial_min_level | smallint(5) unsigned | NO          | 0              |
| lootdrop_entries_columns | trivial_max_level | smallint(5) unsigned | NO          | 0              |
| lootdrop_entries_columns | multiplier        | tinyint(2) unsigned  | NO          | 1              |
| lootdrop_entries_columns | npc_min_level     | smallint(5) unsigned | NO          | 0              |
| lootdrop_entries_columns | npc_max_level     | smallint(5) unsigned | NO          | 0              |
+--------------------------+-------------------+----------------------+-------------+----------------+
+---------------------------+--------------+---------------------+-------------+----------------+
| section                   | COLUMN_NAME  | COLUMN_TYPE         | IS_NULLABLE | COLUMN_DEFAULT |
+---------------------------+--------------+---------------------+-------------+----------------+
| loottable_entries_columns | loottable_id | int(11) unsigned    | NO          | 0              |
| loottable_entries_columns | lootdrop_id  | int(11) unsigned    | NO          | 0              |
| loottable_entries_columns | multiplier   | tinyint(2) unsigned | NO          | 1              |
| loottable_entries_columns | droplimit    | tinyint(2) unsigned | NO          | 0              |
| loottable_entries_columns | mindrop      | tinyint(2) unsigned | NO          | 0              |
| loottable_entries_columns | probability  | float               | NO          | 100            |
+---------------------------+--------------+---------------------+-------------+----------------+
+----------------------+------------------------+----------------------+-------------+----------------+
| section              | COLUMN_NAME            | COLUMN_TYPE          | IS_NULLABLE | COLUMN_DEFAULT |
+----------------------+------------------------+----------------------+-------------+----------------+
| merchantlist_columns | merchantid             | int(11)              | NO          | 0              |
| merchantlist_columns | slot                   | int(11) unsigned     | NO          | 0              |
| merchantlist_columns | item                   | int(11)              | NO          | 0              |
| merchantlist_columns | faction_required       | smallint(6)          | NO          | -100           |
| merchantlist_columns | level_required         | tinyint(3) unsigned  | NO          | 0              |
| merchantlist_columns | min_status             | tinyint(3) unsigned  | NO          | 0              |
| merchantlist_columns | max_status             | tinyint(3) unsigned  | NO          | 255            |
| merchantlist_columns | alt_currency_cost      | smallint(5) unsigned | NO          | 0              |
| merchantlist_columns | classes_required       | int(11)              | NO          | 65535          |
| merchantlist_columns | probability            | int(3)               | NO          | 100            |
| merchantlist_columns | bucket_name            | varchar(100)         | NO          | ''             |
| merchantlist_columns | bucket_value           | varchar(100)         | NO          | ''             |
| merchantlist_columns | bucket_comparison      | tinyint(3) unsigned  | YES         | 0              |
| merchantlist_columns | min_expansion          | tinyint(4)           | NO          | -1             |
| merchantlist_columns | max_expansion          | tinyint(4)           | NO          | -1             |
| merchantlist_columns | content_flags          | varchar(100)         | YES         | NULL           |
| merchantlist_columns | content_flags_disabled | varchar(100)         | YES         | NULL           |
+----------------------+------------------------+----------------------+-------------+----------------+
+--------------------+-------------+
| section            | count_value |
+--------------------+-------------+
| defiant_item_count |         417 |
+--------------------+-------------+
+----------------------+-------+--------------------------------------+----------+---------+-------+---------+----------+----------+--------+--------+
| section              | id    | Name                                 | itemtype | classes | races | slots   | reqlevel | reclevel | nodrop | norent |
| defiant_loottable_links |       110213 |      176436 |   50139 | Flawed Defiant Silk Gloves           |
| defiant_loottable_links |       110213 |      176436 |   50140 | Flawed Defiant Silk Sandals          |
| defiant_loottable_links |       110213 |      176436 |   50141 | Flawed Defiant Silk Cap              |
| defiant_loottable_links |       110213 |      176436 |   50142 | Flawed Defiant Silk Sleeves          |
| defiant_loottable_links |       110213 |      176436 |   50143 | Flawed Defiant Silk Pantaloons       |
| defiant_loottable_links |       110213 |      176436 |   50144 | Flawed Defiant Silk Robe             |
| defiant_loottable_links |       110213 |      176436 |   50570 | Flawed Defiant Quartz                |
| defiant_loottable_links |       110213 |      176436 |   50571 | Flawed Defiant Amberstone            |
| defiant_loottable_links |       110213 |      176436 |   50572 | Flawed Defiant Brawl Stick           |
| defiant_loottable_links |       110213 |      176436 |   50573 | Flawed Defiant Mace                  |
| defiant_loottable_links |       110213 |      176436 |   50574 | Flawed Defiant Longsword             |
| defiant_loottable_links |       110213 |      176436 |   50575 | Flawed Defiant Shortsword            |
| defiant_loottable_links |       110213 |      176436 |   50576 | Flawed Defiant Glass Shard           |
| defiant_loottable_links |       110213 |      176436 |   50577 | Flawed Defiant Dagger                |
| defiant_loottable_links |       110213 |      176436 |   50578 | Flawed Defiant Orb                   |
| defiant_loottable_links |       110213 |      176436 |   50579 | Flawed Defiant Quarterstaff          |
| defiant_loottable_links |       110213 |      176436 |   50580 | Flawed Defiant Lance                 |
| defiant_loottable_links |       110213 |      176436 |   50581 | Flawed Defiant Emeraldblade          |
| defiant_loottable_links |       110213 |      176436 |   50582 | Flawed Defiant Longbow               |
| defiant_loottable_links |       110213 |      176436 |   50583 | Flawed Defiant Scale Shield          |
| defiant_loottable_links |       110213 |      176436 |   50584 | Flawed Defiant Carapace              |
| defiant_loottable_links |       110213 |      176436 |   50585 | Flawed Defiant Charm                 |
| defiant_loottable_links |       110214 |      176437 |   50145 | Intricate Defiant Plate Bracer       |
| defiant_loottable_links |       110214 |      176437 |   50146 | Intricate Defiant Plate Wristguard   |
| defiant_loottable_links |       110214 |      176437 |   50147 | Intricate Defiant Plate Wristband    |
| defiant_loottable_links |       110214 |      176437 |   50148 | Intricate Defiant Plate Gauntlets    |
| defiant_loottable_links |       110214 |      176437 |   50149 | Intricate Defiant Plate Boots        |
| defiant_loottable_links |       110214 |      176437 |   50150 | Intricate Defiant Plate Helm         |
| defiant_loottable_links |       110214 |      176437 |   50151 | Intricate Defiant Plate Vambraces    |
| defiant_loottable_links |       110214 |      176437 |   50152 | Intricate Defiant Plate Greaves      |
| defiant_loottable_links |       110214 |      176437 |   50153 | Intricate Defiant Breastplate        |
| defiant_loottable_links |       110214 |      176437 |   50154 | Intricate Defiant Chain Bracer       |
| defiant_loottable_links |       110214 |      176437 |   50155 | Intricate Defiant Chain Wristguard   |
| defiant_loottable_links |       110214 |      176437 |   50156 | Intricate Defiant Chain Gauntlets    |
| defiant_loottable_links |       110214 |      176437 |   50157 | Intricate Defiant Chain Boots        |
| defiant_loottable_links |       110214 |      176437 |   50158 | Intricate Defiant Chain Coif         |
| defiant_loottable_links |       110214 |      176437 |   50159 | Intricate Defiant Chain Sleeves      |
| defiant_loottable_links |       110214 |      176437 |   50160 | Intricate Defiant Chain Leggings     |
| defiant_loottable_links |       110214 |      176437 |   50161 | Intricate Defiant Chain Tunic        |
| defiant_loottable_links |       110214 |      176437 |   50162 | Intricate Defiant Leather Bracer     |
| defiant_loottable_links |       110214 |      176437 |   50163 | Intricate Defiant Leather Wristguard |
| defiant_loottable_links |       110214 |      176437 |   50164 | Intricate Defiant Leather Gloves     |
| defiant_loottable_links |       110214 |      176437 |   50165 | Intricate Defiant Leather Boots      |
| defiant_loottable_links |       110214 |      176437 |   50166 | Intricate Defiant Leather Cap        |
| defiant_loottable_links |       110214 |      176437 |   50167 | Intricate Defiant Leather Sleeves    |
| defiant_loottable_links |       110214 |      176437 |   50168 | Intricate Defiant Leather Trousers   |
| defiant_loottable_links |       110214 |      176437 |   50169 | Intricate Defiant Leather Tunic      |
| defiant_loottable_links |       110214 |      176437 |   50170 | Intricate Defiant Silk Wristguard    |
| defiant_loottable_links |       110214 |      176437 |   50171 | Intricate Defiant Silk Wristband     |
| defiant_loottable_links |       110214 |      176437 |   50172 | Intricate Defiant Silk Wristwrap     |
| defiant_loottable_links |       110214 |      176437 |   50173 | Intricate Defiant Silk Gloves        |
| defiant_loottable_links |       110214 |      176437 |   50174 | Intricate Defiant Silk Sandals       |
| defiant_loottable_links |       110214 |      176437 |   50175 | Intricate Defiant Silk Cap           |
| defiant_loottable_links |       110214 |      176437 |   50176 | Intricate Defiant Silk Sleeves       |
| defiant_loottable_links |       110214 |      176437 |   50177 | Intricate Defiant Silk Pantaloons    |
| defiant_loottable_links |       110214 |      176437 |   50178 | Intricate Defiant Silk Robe          |
| defiant_loottable_links |       110214 |      176437 |   50586 | Intricate Defiant Spotstone          |
| defiant_loottable_links |       110214 |      176437 |   50587 | Intricate Defiant Crystal Shard      |
| defiant_loottable_links |       110214 |      176437 |   50588 | Intricate Defiant Hammer             |
| defiant_loottable_links |       110214 |      176437 |   50589 | Intricate Defiant Mace               |
| defiant_loottable_links |       110214 |      176437 |   50590 | Intricate Defiant Katana             |
| defiant_loottable_links |       110214 |      176437 |   50591 | Intricate Defiant Scimitar           |
| defiant_loottable_links |       110214 |      176437 |   50592 | Intricate Defiant Sacrificial Dagger |
| defiant_loottable_links |       110214 |      176437 |   50593 | Intricate Defiant Partisan Spear     |
| defiant_loottable_links |       110214 |      176437 |   50594 | Intricate Defiant Handwraps          |
| defiant_loottable_links |       110214 |      176437 |   50595 | Intricate Defiant Spiked Warhammer   |
| defiant_loottable_links |       110214 |      176437 |   50596 | Intricate Defiant Trident            |
| defiant_loottable_links |       110214 |      176437 |   50597 | Intricate Defiant Greatsword         |
| defiant_loottable_links |       110214 |      176437 |   50598 | Intricate Defiant Bow                |
| defiant_loottable_links |       110214 |      176437 |   50599 | Intricate Defiant Hammered Buckler   |
| defiant_loottable_links |       110214 |      176437 |   50600 | Intricate Defiant Targ Shield        |
| defiant_loottable_links |       110214 |      176437 |   50601 | Intricate Defiant Charm              |
| defiant_loottable_links |       110215 |      176438 |   50179 | Elaborate Defiant Plate Bracer       |
| defiant_loottable_links |       110215 |      176438 |   50180 | Elaborate Defiant Plate Wristguard   |
| defiant_loottable_links |       110215 |      176438 |   50181 | Elaborate Defiant Plate Wristband    |
| defiant_loottable_links |       110215 |      176438 |   50182 | Elaborate Defiant Plate Gauntlets    |
| defiant_loottable_links |       110215 |      176438 |   50183 | Elaborate Defiant Plate Boots        |
| defiant_loottable_links |       110215 |      176438 |   50184 | Elaborate Defiant Plate Helm         |
| defiant_loottable_links |       110215 |      176438 |   50185 | Elaborate Defiant Plate Vambraces    |
| defiant_loottable_links |       110215 |      176438 |   50186 | Elaborate Defiant Plate Greaves      |
| defiant_loottable_links |       110215 |      176438 |   50187 | Elaborate Defiant Breastplate        |
| defiant_loottable_links |       110215 |      176438 |   50188 | Elaborate Defiant Chain Bracer       |
| defiant_loottable_links |       110215 |      176438 |   50189 | Elaborate Defiant Chain Wristguard   |
| defiant_loottable_links |       110215 |      176438 |   50190 | Elaborate Defiant Chain Gauntlets    |
| defiant_loottable_links |       110215 |      176438 |   50191 | Elaborate Defiant Chain Boots        |
| defiant_loottable_links |       110215 |      176438 |   50192 | Elaborate Defiant Chain Coif         |
| defiant_loottable_links |       110215 |      176438 |   50193 | Elaborate Defiant Chain Sleeves      |
| defiant_loottable_links |       110215 |      176438 |   50194 | Elaborate Defiant Chain Leggings     |
| defiant_loottable_links |       110215 |      176438 |   50195 | Elaborate Defiant Chain Tunic        |
| defiant_loottable_links |       110215 |      176438 |   50196 | Elaborate Defiant Leather Bracer     |
| defiant_loottable_links |       110215 |      176438 |   50197 | Elaborate Defiant Leather Wristguard |
| defiant_loottable_links |       110215 |      176438 |   50198 | Elaborate Defiant Leather Gloves     |
| defiant_loottable_links |       110215 |      176438 |   50199 | Elaborate Defiant Leather Boots      |
| defiant_loottable_links |       110215 |      176438 |   50200 | Elaborate Defiant Leather Cap        |
| defiant_loottable_links |       110215 |      176438 |   50201 | Elaborate Defiant Leather Sleeves    |
| defiant_loottable_links |       110215 |      176438 |   50202 | Elaborate Defiant Leather Trousers   |
| defiant_loottable_links |       110215 |      176438 |   50203 | Elaborate Defiant Leather Tunic      |
| defiant_loottable_links |       110215 |      176438 |   50204 | Elaborate Defiant Silk Wristguard    |
+-------------------------+--------------+-------------+---------+--------------------------------------+
+--------------------------+-------------+
| section                  | count_value |
+--------------------------+-------------+
| defiant_npc_source_count |           0 |
+--------------------------+-------------+
+------------------------------+-------------+
| section                      | count_value |
+------------------------------+-------------+
| defiant_merchant_entry_count |           0 |
+------------------------------+-------------+
